Client,Risk Tolerance,Financial Goals,Time Period,Investment Horizon,Preferred Services,Investment Experience,ROI,Risk Aversion,Customer Service,Security,Flexibility
Client 226,Low,Insurance,75,Medium,"Ariel, DNAV, Insurance, MLOps, Retirement, Stocks, Mutual Fund",Low,Medium,High,Poor,High,High
Client 227,Medium,Investment,41,Long,"Mutual Fund, DNAV, Insurance, Retirement, MLOps, Recon, Ariel, Stocks",Low,Low,Low,Poor,Low,Medium
Client 228,Medium,Stocks,3,Long,"MLOps, Recon, Ariel, DNAV, Stocks, Insurance, Mutual Fund",Low,Low,High,Excellent,High,Low
Client 229,Medium,Investment,63,Medium,"Mutual Fund, Stocks, Recon, Insurance",Medium,High,High,Good,Medium,Low
Client 230,Low,Insurance,7,Short,"Mutual Fund, Recon, Retirement, DNAV, MLOps, Stocks",Low,Medium,High,Poor,Low,Medium
Client 231,Low,Insurance,72,Long,"Retirement, Mutual Fund",High,Low,Medium,Poor,High,High
Client 232,High,Insurance,45,Long,Insurance,Medium,Low,Low,Excellent,High,Low
Client 233,High,Stocks,47,Short,"Insurance, Ariel, Recon, Stocks, Mutual Fund",Medium,Low,Low,Good,Low,High
Client 234,Medium,Stocks,42,Medium,"Mutual Fund, Stocks, DNAV",Low,High,Low,Good,High,Medium
Client 235,High,Investment,37,Long,"DNAV, Retirement, Ariel, Insurance, Recon, Stocks",High,High,High,Good,Medium,Medium
Client 236,Medium,Stocks,46,Short,"Insurance, DNAV",Medium,Low,Low,Poor,Low,High
Client 237,High,Investment,43,Short,"Insurance, MLOps, Stocks",Medium,Medium,High,Excellent,High,Low
Client 238,High,Insurance,76,Short,"Stocks, Recon, DNAV",High,High,High,Poor,Medium,Low
Client 239,Low,Stocks,5,Short,"Retirement, MLOps, Stocks, DNAV, Insurance, Mutual Fund, Ariel",High,High,Low,Good,Low,High
Client 240,Medium,Investment,62,Medium,"Recon, MLOps, Retirement, Mutual Fund, Stocks, DNAV, Insurance",High,High,High,Good,High,High
Client 241,High,Investment,22,Medium,"Ariel, Insurance, Retirement, Mutual Fund, Stocks, Recon, MLOps, DNAV",Medium,Medium,Low,Excellent,Medium,Medium
Client 242,High,Investment,72,Short,"Retirement, Recon, Mutual Fund, Ariel, DNAV, MLOps, Insurance, Stocks",High,Medium,Medium,Excellent,High,Medium
Client 243,Low,Stocks,62,Medium,"Retirement, Ariel, Stocks, DNAV",High,Medium,Medium,Good,Medium,Medium
Client 244,High,Investment,61,Medium,"Mutual Fund, DNAV, Ariel, Retirement",Medium,High,Medium,Excellent,Low,High
Client 245,Medium,Insurance,25,Medium,"Mutual Fund, DNAV, MLOps, Ariel, Stocks, Recon, Retirement",High,Medium,Medium,Poor,Medium,High
Client 246,Medium,Stocks,40,Long,"Recon, Retirement",Medium,High,Medium,Good,Low,High
Client 247,High,Insurance,26,Medium,"Ariel, DNAV, Mutual Fund",Medium,High,Medium,Good,High,Medium
Client 248,Low,Insurance,59,Medium,"DNAV, Ariel, Stocks, MLOps, Retirement, Mutual Fund",Low,Medium,Low,Poor,Medium,Medium
Client 249,Medium,Stocks,6,Short,"MLOps, Stocks, Recon, DNAV, Mutual Fund, Insurance, Retirement, Ariel",High,Low,Low,Excellent,Low,Low
Client 250,Low,Stocks,73,Short,"Recon, Ariel, Retirement, Mutual Fund, Stocks, DNAV",High,Low,Low,Poor,High,High
Client 251,Low,Stocks,5,Medium,"MLOps, Retirement, DNAV",Medium,High,Low,Excellent,High,Low
Client 252,Medium,Insurance,72,Medium,"Ariel, DNAV, Recon, Retirement",Medium,Medium,Medium,Poor,High,Medium
Client 253,Medium,Insurance,32,Short,"Retirement, Insurance, DNAV, Recon, Mutual Fund, Ariel, MLOps",Medium,Medium,Medium,Good,Low,Medium
Client 254,Low,Insurance,52,Medium,"DNAV, Ariel, Recon",Low,High,Medium,Excellent,High,High
Client 255,High,Stocks,7,Short,Ariel,Low,High,Low,Excellent,Medium,Medium
Client 256,Low,Insurance,26,Medium,"Recon, DNAV",Medium,Low,High,Poor,Medium,High
Client 257,Low,Insurance,71,Long,"Retirement, Mutual Fund, Insurance, Stocks",Medium,Low,Medium,Good,Low,Low
Client 258,Low,Stocks,12,Short,"Insurance, Retirement",High,Low,High,Excellent,Low,Medium
Client 259,Low,Investment,12,Long,DNAV,Medium,Medium,High,Poor,High,Medium
Client 260,High,Insurance,22,Short,"Insurance, Ariel, Recon, Stocks, MLOps, DNAV",Medium,Low,Medium,Good,Low,High
Client 261,High,Insurance,52,Long,"Mutual Fund, Insurance, MLOps, Stocks",High,Medium,Medium,Poor,Low,Medium
Client 262,Low,Insurance,14,Short,"Retirement, Mutual Fund, DNAV, Recon, Insurance, MLOps, Ariel",Low,High,Low,Poor,Medium,Low
Client 263,High,Insurance,9,Medium,"MLOps, Insurance, Stocks, Retirement, Recon",Medium,Low,Low,Poor,Low,Low
Client 264,High,Stocks,73,Long,"MLOps, DNAV, Recon",Medium,High,High,Excellent,Medium,Medium
Client 265,Low,Investment,48,Long,"Recon, MLOps, Ariel",Medium,High,Medium,Good,High,Low
Client 266,High,Stocks,75,Long,"MLOps, Insurance, Retirement, Stocks, DNAV, Recon, Mutual Fund, Ariel",Medium,Medium,High,Poor,High,High
Client 267,Low,Insurance,19,Medium,"Mutual Fund, DNAV, Ariel, MLOps",High,Low,Medium,Good,Low,Medium
Client 268,Medium,Stocks,21,Medium,"Ariel, Retirement, MLOps",Low,High,High,Poor,Medium,High
Client 269,Medium,Stocks,22,Short,"DNAV, Retirement, MLOps, Mutual Fund, Insurance, Recon, Ariel, Stocks",High,Low,Medium,Excellent,Medium,Low
Client 270,Medium,Stocks,57,Short,Retirement,Low,Medium,High,Excellent,Low,Medium
Client 271,High,Stocks,6,Short,"Recon, Stocks, Insurance, Mutual Fund, MLOps, Ariel",High,Low,Medium,Good,Low,Low
Client 272,Low,Stocks,64,Short,"Mutual Fund, Recon",High,Medium,High,Good,Low,High
Client 273,High,Insurance,78,Medium,Stocks,Medium,High,Medium,Good,Low,Low
Client 274,High,Investment,47,Medium,"Retirement, MLOps, Stocks, Recon, Insurance",Medium,Low,Medium,Excellent,High,Low
Client 275,Low,Investment,6,Long,"DNAV, Recon, MLOps, Mutual Fund",Medium,High,Low,Poor,Low,Medium
Client 276,Medium,Stocks,71,Medium,"Mutual Fund, DNAV",Medium,Medium,Medium,Excellent,Medium,Medium
Client 277,Medium,Stocks,56,Short,"Mutual Fund, Ariel",Medium,High,High,Good,High,Medium
Client 278,Medium,Investment,60,Short,"Retirement, Recon, Stocks, Ariel, Insurance, Mutual Fund, DNAV",High,Low,Low,Poor,Low,Medium
Client 279,High,Insurance,22,Short,"Mutual Fund, Stocks, DNAV",Medium,High,Medium,Poor,High,Medium
Client 280,Medium,Investment,19,Medium,"Recon, Insurance, MLOps, Stocks, Ariel, Mutual Fund, DNAV, Retirement",Low,High,Medium,Excellent,Low,Low
Client 281,High,Stocks,75,Short,Retirement,Medium,Low,Medium,Excellent,Medium,Medium
Client 282,Low,Stocks,16,Medium,"MLOps, Ariel, Mutual Fund, DNAV, Insurance, Stocks, Recon, Retirement",High,Low,Medium,Excellent,Low,Low
Client 283,High,Stocks,19,Medium,"Mutual Fund, Retirement, Ariel, Stocks, Insurance, DNAV",Medium,Medium,Medium,Poor,Medium,High
Client 284,Low,Stocks,14,Medium,"Recon, Mutual Fund, MLOps",Medium,Medium,Medium,Good,High,Medium
Client 285,Low,Insurance,51,Short,"MLOps, Recon, Stocks",Medium,Low,High,Good,Medium,Medium
Client 286,Medium,Stocks,80,Medium,Recon,Medium,Low,Medium,Excellent,Medium,Low
Client 287,High,Investment,7,Short,"Ariel, Retirement, Mutual Fund, Stocks",Low,High,Low,Good,Medium,Medium
Client 288,Low,Investment,9,Long,Insurance,Low,Low,High,Poor,High,Low
Client 289,High,Insurance,32,Short,"Ariel, Retirement, Mutual Fund, MLOps",Medium,Medium,High,Poor,High,High
Client 290,Low,Insurance,21,Medium,"DNAV, Ariel, Insurance, Recon",High,Low,High,Poor,Medium,High
Client 291,High,Investment,28,Medium,"Mutual Fund, Stocks, DNAV, Recon, Insurance, Retirement",Medium,Low,Medium,Excellent,Medium,High
Client 292,High,Investment,60,Short,"Retirement, Mutual Fund, DNAV, MLOps, Recon, Stocks, Insurance",Low,High,High,Good,High,Low
Client 293,High,Insurance,26,Short,"Retirement, MLOps, Ariel, Recon",Medium,High,Medium,Good,High,Medium
Client 294,High,Insurance,75,Medium,"Mutual Fund, Stocks, Retirement, Ariel, DNAV, Recon, MLOps",Low,Medium,Medium,Poor,Medium,Low
Client 295,Low,Insurance,26,Medium,"Ariel, Retirement, Stocks, Insurance",Low,Medium,Low,Excellent,High,Low
Client 296,Medium,Stocks,32,Medium,"MLOps, Insurance, DNAV, Stocks, Retirement, Mutual Fund, Recon, Ariel",High,Low,Low,Poor,High,Low
Client 297,Low,Insurance,19,Medium,"Recon, Insurance, Stocks, Ariel",Low,Medium,Medium,Excellent,High,High
Client 298,Low,Investment,69,Medium,"Recon, Mutual Fund, Retirement, Stocks",High,Medium,High,Poor,Medium,Low
Client 299,Low,Insurance,75,Long,"Recon, DNAV, Retirement, Mutual Fund, Insurance, MLOps, Ariel",Low,High,Medium,Poor,Low,Low
Client 300,Low,Investment,48,Short,Stocks,Low,Low,High,Excellent,Medium,High
Client 301,Low,Insurance,48,Medium,"Stocks, MLOps, Retirement, Ariel, Mutual Fund, Insurance, Recon, DNAV",Medium,Medium,Low,Excellent,High,High
Client 302,High,Investment,34,Long,MLOps,Medium,Medium,Medium,Excellent,Low,Medium
Client 303,Low,Stocks,46,Medium,"MLOps, Recon, Retirement",High,Medium,Medium,Poor,High,Medium
Client 304,Medium,Insurance,14,Short,Ariel,High,High,Medium,Good,Medium,Medium
Client 305,Medium,Insurance,41,Medium,"Insurance, MLOps, Ariel, Mutual Fund, Retirement, DNAV, Recon",Medium,Medium,High,Good,Medium,Medium
Client 306,High,Insurance,31,Medium,"Insurance, Recon",Low,Low,Medium,Good,Low,Medium
Client 307,Low,Investment,26,Medium,"MLOps, Retirement, DNAV, Stocks",Medium,Medium,Medium,Poor,Medium,Medium
Client 308,Medium,Insurance,26,Long,"DNAV, MLOps",Medium,Medium,Low,Good,Medium,High
Client 309,Medium,Insurance,40,Short,"Stocks, MLOps, Insurance, Retirement, Recon, Ariel",Medium,Low,High,Poor,High,High
Client 310,Medium,Stocks,16,Long,"Recon, Retirement, MLOps, Mutual Fund, Ariel, Insurance",Low,Low,Medium,Good,High,High
Client 311,Medium,Stocks,49,Medium,"Retirement, Ariel, Insurance, DNAV, Mutual Fund, MLOps",Low,Medium,Low,Good,Medium,Medium
Client 312,Low,Insurance,74,Long,"Mutual Fund, Recon, Ariel, Retirement, Insurance, Stocks, DNAV",High,Low,High,Poor,High,Medium
Client 313,Medium,Stocks,75,Short,"Recon, DNAV, Insurance, Ariel, Mutual Fund, Retirement",High,High,Medium,Excellent,Low,High
Client 314,High,Investment,57,Short,"Stocks, Retirement, DNAV, Mutual Fund, Ariel",High,High,Medium,Poor,Low,Low
Client 315,High,Investment,64,Short,"Stocks, Ariel, Mutual Fund, DNAV",Medium,High,High,Good,Low,High
Client 316,Medium,Investment,78,Long,"Mutual Fund, Ariel, Insurance, Recon, DNAV, Stocks",Medium,Low,High,Poor,Medium,Low
Client 317,Medium,Stocks,56,Medium,"Mutual Fund, Retirement, DNAV, Insurance, Stocks",Low,Low,Low,Poor,Medium,Low
Client 318,Low,Investment,22,Medium,"Retirement, MLOps, Stocks, Recon, Mutual Fund, Insurance, DNAV, Ariel",Low,Medium,Medium,Excellent,Low,Medium
Client 319,Medium,Stocks,29,Short,"DNAV, Retirement, Mutual Fund",Low,Medium,Low,Excellent,Low,Low
Client 320,Medium,Insurance,73,Long,"Ariel, MLOps, Insurance",Low,High,Medium,Poor,Low,High
Client 321,Low,Insurance,30,Short,"Ariel, Retirement",Medium,High,Medium,Good,Low,Medium
Client 322,Medium,Insurance,71,Short,"Retirement, Ariel, Insurance, Stocks, Recon, MLOps",High,Medium,High,Excellent,High,Low
Client 323,High,Insurance,58,Long,"MLOps, Recon, Mutual Fund, Ariel, DNAV, Retirement",Low,Medium,High,Good,High,Low
Client 324,Medium,Stocks,50,Long,"DNAV, MLOps, Mutual Fund, Recon",High,Medium,High,Poor,High,Medium
Client 325,High,Insurance,44,Medium,"Insurance, Stocks, DNAV, Mutual Fund, Ariel, MLOps, Recon",Low,Medium,Low,Good,Low,High
Client 326,Low,Stocks,18,Long,"Ariel, Retirement, Mutual Fund, Stocks, MLOps",Low,Medium,Low,Excellent,High,Medium
Client 327,Medium,Investment,32,Medium,Insurance,Low,Low,High,Excellent,High,High
Client 328,Low,Insurance,36,Long,"Recon, Insurance, Mutual Fund, Ariel, Retirement, Stocks, MLOps",High,Medium,Low,Excellent,High,Medium
Client 329,Medium,Stocks,61,Long,"Stocks, Retirement",Medium,Medium,High,Poor,High,Low
Client 330,Low,Insurance,37,Medium,"MLOps, Ariel, Retirement, Insurance",Medium,Medium,High,Excellent,Low,Low
Client 331,High,Investment,2,Short,"Stocks, Ariel, Mutual Fund, Insurance, Retirement, Recon",High,Low,Medium,Good,High,Low
Client 332,High,Investment,48,Short,"Retirement, MLOps, Insurance, Ariel, DNAV, Stocks, Recon",High,High,High,Excellent,High,Low
Client 333,Low,Insurance,6,Medium,"DNAV, Ariel, Stocks, Mutual Fund, Recon, Retirement, Insurance",Medium,Medium,Low,Poor,High,Medium
Client 334,Medium,Stocks,25,Medium,Retirement,Medium,High,High,Poor,High,Low
Client 335,Low,Investment,68,Long,"Recon, Ariel, Mutual Fund, DNAV, Retirement",Medium,Medium,Low,Poor,Medium,Low
Client 336,High,Stocks,63,Long,"Insurance, Ariel",High,Low,High,Good,Low,Low
Client 337,Low,Insurance,63,Medium,"MLOps, DNAV, Ariel, Retirement, Stocks, Mutual Fund",Low,High,Low,Excellent,High,Medium
Client 338,High,Stocks,45,Long,Insurance,Medium,Low,Low,Good,Medium,High
Client 339,High,Insurance,1,Medium,"Mutual Fund, Retirement, Stocks",High,Low,Medium,Poor,Medium,Low
Client 340,Medium,Investment,32,Short,"Ariel, DNAV, Mutual Fund, Stocks",Low,High,Medium,Poor,Medium,High
Client 341,High,Insurance,14,Long,"Insurance, MLOps, Ariel, Retirement, DNAV, Recon, Mutual Fund",Medium,Medium,High,Excellent,Low,Medium
Client 342,Medium,Stocks,75,Short,"Ariel, Stocks, MLOps, DNAV, Mutual Fund",High,High,Medium,Poor,Low,Low
Client 343,Medium,Investment,20,Short,"Mutual Fund, Recon, Insurance, DNAV",Medium,Low,Medium,Poor,Medium,Low
Client 344,Low,Insurance,3,Medium,"Mutual Fund, Ariel",Medium,Medium,High,Good,Medium,High
Client 345,High,Stocks,70,Short,Insurance,Low,Medium,Low,Good,Medium,Low
Client 346,Medium,Stocks,11,Medium,"Stocks, DNAV, Mutual Fund, Insurance, Retirement, MLOps, Recon, Ariel",Medium,Low,High,Excellent,High,High
Client 347,High,Stocks,76,Medium,"MLOps, Retirement, Mutual Fund, DNAV, Ariel",High,Low,Low,Excellent,High,High
Client 348,Low,Insurance,75,Short,"Mutual Fund, Insurance, MLOps, Ariel, Recon, DNAV, Stocks, Retirement",Low,High,Low,Excellent,High,Medium
Client 349,Low,Insurance,27,Short,"Stocks, Ariel",High,High,Medium,Excellent,Low,Low
Client 350,High,Investment,46,Medium,"Recon, Stocks, Ariel, Retirement, MLOps, DNAV, Mutual Fund",High,High,High,Poor,Low,Low
Client 351,Low,Stocks,14,Medium,DNAV,Medium,High,High,Good,Medium,High
Client 352,Medium,Investment,21,Medium,"Recon, DNAV, MLOps, Ariel, Retirement, Insurance, Mutual Fund",Medium,Medium,High,Excellent,Medium,High
Client 353,Medium,Insurance,35,Short,"DNAV, Mutual Fund, Stocks, MLOps, Ariel, Retirement, Insurance",Low,Low,Medium,Excellent,Medium,Medium
Client 354,Low,Insurance,6,Short,Retirement,High,Medium,Low,Poor,High,Low
Client 355,High,Investment,8,Medium,"DNAV, Recon, Ariel, MLOps, Insurance",High,Low,High,Good,Low,High
Client 356,Low,Insurance,75,Short,"Insurance, Mutual Fund",High,High,Medium,Excellent,Low,High
Client 357,High,Insurance,37,Long,"Stocks, Recon, MLOps, Ariel, Mutual Fund, Insurance, Retirement",Low,High,High,Good,Medium,Low
Client 358,High,Investment,44,Long,"Mutual Fund, Stocks",High,High,Low,Good,Low,Medium
Client 359,Medium,Insurance,48,Short,"Recon, Stocks, MLOps, Retirement, DNAV, Mutual Fund, Ariel",Low,High,Medium,Good,Medium,Medium
Client 360,High,Stocks,49,Long,"Retirement, DNAV, MLOps, Ariel",High,High,Medium,Good,Medium,Medium
Client 361,Low,Investment,25,Long,"MLOps, Insurance, Retirement, DNAV, Ariel, Recon, Mutual Fund, Stocks",Medium,High,Medium,Poor,Low,High
Client 362,Medium,Stocks,67,Short,"DNAV, Insurance, Retirement",Medium,Low,Medium,Excellent,Low,High
Client 363,Low,Investment,56,Medium,"Ariel, MLOps, Mutual Fund, Recon, Stocks, Retirement, DNAV",High,Low,Low,Good,Medium,High
Client 364,High,Insurance,34,Long,Insurance,Medium,Medium,High,Excellent,Medium,Medium
Client 365,Low,Investment,3,Long,"MLOps, Stocks, Recon, Insurance, Retirement, Ariel",Medium,High,High,Good,High,Low
Client 366,High,Stocks,72,Medium,"Stocks, DNAV, Insurance, MLOps, Mutual Fund",Low,High,Medium,Good,Medium,High
Client 367,High,Investment,75,Medium,DNAV,Low,Medium,Low,Excellent,Medium,Medium
Client 368,Medium,Stocks,2,Medium,"Stocks, Recon, Insurance, Mutual Fund, Ariel",Medium,High,High,Poor,Medium,Medium
Client 369,Low,Investment,14,Short,"Stocks, Retirement, Mutual Fund, Insurance",High,Low,Low,Excellent,Low,Medium
Client 370,Low,Insurance,72,Long,"Insurance, Retirement, Ariel, MLOps, Stocks, DNAV",High,Medium,Low,Poor,Low,Low
Client 371,Medium,Investment,53,Long,"Stocks, MLOps, DNAV, Recon, Ariel",High,High,High,Poor,High,High
Client 372,Low,Insurance,61,Short,"Ariel, DNAV, MLOps, Recon, Insurance, Mutual Fund, Retirement",High,Low,Medium,Good,Low,Low
Client 373,Low,Stocks,52,Short,"Retirement, Insurance",Medium,Medium,High,Poor,Low,Low
Client 374,Medium,Investment,37,Long,"Ariel, Mutual Fund, Insurance, Recon, DNAV",High,Medium,High,Poor,Low,High
Client 375,Medium,Insurance,78,Short,"Stocks, Insurance, MLOps, Ariel, Mutual Fund",High,Low,Medium,Poor,Medium,Medium
Client 376,Medium,Investment,11,Short,"DNAV, Recon, MLOps, Stocks, Insurance, Mutual Fund, Retirement",High,Low,Low,Excellent,High,Medium
Client 377,Low,Investment,30,Medium,Recon,High,High,High,Excellent,High,High
Client 378,High,Insurance,8,Medium,"Recon, Stocks, Mutual Fund, MLOps, DNAV, Retirement, Ariel, Insurance",Low,High,Medium,Poor,Low,Medium
Client 379,High,Insurance,51,Medium,"MLOps, Mutual Fund, DNAV",High,High,Medium,Good,High,High
Client 380,Medium,Insurance,72,Short,"Retirement, Ariel, MLOps, DNAV, Stocks, Mutual Fund, Recon, Insurance",Low,Medium,Low,Excellent,Medium,Low
Client 381,High,Stocks,19,Long,"Ariel, Recon, DNAV, MLOps, Mutual Fund, Stocks, Insurance",Low,Medium,High,Excellent,Medium,Medium
Client 382,Medium,Insurance,37,Medium,"DNAV, Stocks, Mutual Fund, Ariel, Insurance",Medium,Medium,Medium,Good,Medium,High
Client 383,Medium,Investment,38,Medium,"DNAV, MLOps, Recon, Stocks, Mutual Fund",High,Low,Low,Poor,Medium,Low
Client 384,High,Stocks,53,Long,Recon,High,Medium,High,Good,Low,Medium
Client 385,Low,Stocks,47,Short,Mutual Fund,High,High,High,Good,High,High
Client 386,High,Investment,66,Medium,"MLOps, Retirement, Mutual Fund",Medium,Medium,Low,Excellent,Low,Medium
Client 387,High,Stocks,15,Medium,"Retirement, Ariel, MLOps, DNAV",Medium,High,High,Poor,Low,Low
Client 388,High,Stocks,67,Short,"Stocks, Recon, MLOps, Insurance, Ariel",Medium,Medium,Low,Excellent,Low,High
Client 389,Medium,Stocks,29,Short,"MLOps, Recon, Ariel, Retirement, DNAV, Mutual Fund, Insurance",High,High,Low,Poor,Low,Low
Client 390,Medium,Stocks,73,Short,"Mutual Fund, Insurance, DNAV, Recon, Retirement",High,Low,Low,Excellent,Low,Low
Client 391,Low,Insurance,50,Short,"Retirement, Ariel, DNAV, MLOps, Recon",Low,High,High,Excellent,Low,Low
Client 392,Low,Stocks,22,Medium,"Insurance, Stocks, MLOps, Recon, Ariel, Retirement",High,Medium,High,Excellent,Low,Medium
Client 393,High,Investment,25,Short,"Mutual Fund, Ariel, Recon, DNAV, Retirement, Stocks, Insurance, MLOps",Medium,Medium,Medium,Good,Medium,Medium
Client 394,Low,Stocks,4,Long,"Insurance, MLOps, Stocks, Ariel, Retirement",Low,Low,High,Poor,Low,High
Client 395,Low,Investment,19,Medium,"DNAV, Recon, Retirement",Low,High,Low,Excellent,Low,Medium
Client 396,Medium,Stocks,35,Medium,"Recon, Stocks, Retirement, Mutual Fund",High,High,High,Good,High,Low
Client 397,Medium,Insurance,2,Medium,"Ariel, DNAV, MLOps, Mutual Fund, Stocks, Recon",Low,High,Low,Good,Low,Medium
Client 398,Low,Stocks,16,Medium,"Insurance, Recon, Ariel, Stocks, MLOps, DNAV, Retirement, Mutual Fund",High,Medium,Medium,Good,Low,Low
Client 399,Medium,Stocks,21,Short,Retirement,High,High,High,Good,Low,Low
Client 400,High,Insurance,71,Short,"Retirement, Recon, Ariel, Mutual Fund, DNAV, MLOps, Stocks, Insurance",Medium,High,High,Poor,Medium,Low
Client 401,Low,Insurance,74,Medium,"Retirement, Stocks, MLOps",Low,High,Low,Good,High,High
Client 402,High,Insurance,61,Short,"Mutual Fund, DNAV, Stocks, Insurance",Low,Low,High,Excellent,Low,Low
Client 403,Medium,Insurance,56,Short,"Retirement, Mutual Fund",Medium,Medium,Low,Excellent,High,Low
Client 404,Medium,Stocks,8,Medium,"Mutual Fund, Ariel, Retirement, Stocks, Insurance, Recon, DNAV",Medium,Medium,High,Excellent,High,High
Client 405,Medium,Insurance,62,Medium,"Mutual Fund, MLOps, DNAV, Insurance",Low,High,Low,Poor,Low,Low
Client 406,Medium,Stocks,18,Long,"Mutual Fund, DNAV, MLOps, Stocks, Retirement",High,Low,High,Poor,High,Medium
Client 407,High,Stocks,3,Medium,"Insurance, Mutual Fund, Recon, MLOps",High,Low,Medium,Poor,High,Low
Client 408,Low,Insurance,37,Short,"DNAV, Ariel, Mutual Fund, Stocks, MLOps, Insurance, Retirement",High,High,Low,Good,Low,Low
Client 409,Medium,Stocks,38,Short,"DNAV, Insurance, Mutual Fund, Recon",Medium,Low,Medium,Good,Medium,Medium
Client 410,High,Stocks,7,Medium,"Retirement, Stocks",High,Medium,High,Poor,High,High
Client 411,High,Insurance,16,Long,"DNAV, Insurance, Mutual Fund, MLOps, Retirement, Stocks, Ariel, Recon",Low,Medium,Medium,Poor,Low,High
Client 412,Low,Stocks,38,Medium,"Stocks, Ariel, Recon",Medium,Low,Medium,Poor,Low,High
Client 413,Low,Investment,46,Long,"Retirement, Insurance, MLOps",Low,Medium,Low,Good,Low,High
Client 414,High,Insurance,9,Long,"Recon, Mutual Fund, DNAV, Retirement, Insurance",Medium,High,Medium,Good,Medium,High
Client 415,High,Investment,76,Medium,"Retirement, Insurance, Stocks",Medium,High,Low,Poor,High,High
Client 416,Medium,Insurance,1,Medium,"Ariel, Stocks, DNAV, Insurance, Recon, MLOps, Retirement, Mutual Fund",Low,High,Low,Poor,High,Low
Client 417,Low,Stocks,8,Long,Insurance,Low,Medium,High,Poor,Medium,Low
Client 418,Low,Stocks,11,Medium,"Ariel, Insurance, DNAV",High,Low,Medium,Poor,Medium,High
Client 419,High,Stocks,36,Short,"MLOps, Retirement, Stocks, Insurance, DNAV, Recon, Ariel, Mutual Fund",Low,Medium,Low,Excellent,Low,High
Client 420,Medium,Investment,64,Medium,"Recon, Stocks, Insurance, Retirement, DNAV",Low,Low,High,Good,Medium,High
Client 421,Low,Stocks,76,Short,"Mutual Fund, Recon, Ariel, Retirement",High,High,High,Good,High,Low
Client 422,Medium,Stocks,19,Short,"Mutual Fund, Retirement, MLOps, Ariel, Stocks",Medium,Low,High,Good,Low,Low
Client 423,High,Investment,52,Medium,"Insurance, Stocks, Retirement, Recon, DNAV",High,Low,Medium,Poor,High,Medium
Client 424,Low,Investment,4,Long,"Insurance, Recon, DNAV, Retirement, Ariel, Mutual Fund, Stocks, MLOps",Low,Low,High,Poor,Low,Low
Client 425,Low,Insurance,25,Medium,"Insurance, Recon, Ariel, Stocks, DNAV, Mutual Fund",High,High,High,Poor,Medium,Medium
Client 426,Medium,Insurance,39,Long,"MLOps, Retirement, DNAV, Mutual Fund, Ariel, Stocks, Recon, Insurance",Low,Medium,High,Excellent,Medium,Low
Client 427,High,Investment,45,Long,"MLOps, Stocks, Recon, DNAV, Insurance",Medium,Low,Low,Excellent,High,Medium
Client 428,Medium,Stocks,3,Medium,"DNAV, Ariel, Mutual Fund",Medium,Medium,High,Good,Medium,High
Client 429,Medium,Insurance,70,Long,"MLOps, Stocks, Recon, Mutual Fund, Ariel, DNAV, Insurance, Retirement",Medium,Medium,High,Good,High,High
Client 430,Low,Stocks,48,Medium,"Recon, Stocks, Retirement, Insurance, MLOps",High,High,High,Poor,Medium,Low
Client 431,High,Insurance,39,Medium,"DNAV, Insurance, Stocks",High,Low,Low,Good,Medium,Medium
Client 432,High,Investment,60,Short,"Mutual Fund, Insurance, Ariel, MLOps, Stocks, Recon, DNAV",High,Medium,Medium,Poor,High,Low
Client 433,High,Investment,54,Short,"Retirement, Recon, MLOps",Low,Low,High,Good,High,Low
Client 434,Medium,Stocks,49,Medium,"Insurance, MLOps, DNAV, Stocks, Ariel, Mutual Fund, Recon",Low,Low,Low,Good,Low,High
Client 435,Medium,Investment,72,Long,"Stocks, Ariel, Recon, Retirement",High,Low,High,Excellent,Low,Medium
Client 436,Low,Stocks,4,Short,"DNAV, Insurance, Retirement, Mutual Fund, Recon, Ariel, MLOps",Low,Medium,Medium,Poor,Medium,Low
Client 437,Medium,Investment,80,Short,"Stocks, MLOps, DNAV, Mutual Fund, Ariel, Retirement, Recon, Insurance",Low,Medium,High,Poor,Low,Medium
Client 438,Medium,Insurance,48,Short,"Stocks, Insurance, Ariel",High,Medium,Low,Poor,Low,High
Client 439,Low,Stocks,13,Medium,Mutual Fund,High,High,Medium,Excellent,Medium,Low
Client 440,High,Insurance,35,Short,"Stocks, Recon, Ariel, MLOps, Insurance, DNAV",Medium,High,Medium,Good,High,High
Client 441,Low,Insurance,47,Medium,"DNAV, Mutual Fund, Recon, Ariel, MLOps",Low,High,High,Poor,Low,Low
Client 442,Low,Insurance,71,Short,"DNAV, Insurance, Ariel, Stocks, Retirement",Medium,Low,Low,Poor,High,Medium
Client 443,Medium,Investment,14,Medium,"Stocks, Insurance, DNAV, Mutual Fund, Retirement, Recon, MLOps",Medium,High,High,Poor,High,Medium
Client 444,Low,Insurance,4,Medium,"Recon, MLOps, Insurance, Mutual Fund, Stocks, DNAV",Medium,High,High,Good,Medium,Low
Client 445,Medium,Investment,45,Short,"DNAV, Stocks",High,Low,High,Poor,Medium,Medium
Client 446,Low,Insurance,39,Long,"Mutual Fund, Retirement, Ariel, Recon, Stocks",Medium,High,High,Good,Medium,Medium
Client 447,High,Investment,55,Medium,"Insurance, Stocks, DNAV, MLOps",Low,Medium,Low,Good,High,Medium
Client 448,Low,Investment,71,Medium,"Retirement, Stocks, Insurance, Ariel, Recon",Low,High,Medium,Good,Medium,Low
